Waypoints_x,Waypoints_y,Trajectory_x,Trajectory_y,Current Location_x,Current Location_y
0.1372134230,-0.0533341534,0.1458651574,-2.8885196036,-0.4702882629,-4.0941918715
0.7489311571,-0.4543607693,0.1458651574,-2.8885196036,,
1.1031608424,-1.047288017,0.1458907031,-2.8888408829,,
1.1093126259,-1.8189224458,0.1459162488,-2.8887021423,,
0.7260721587,-2.5144632957,0.1459162488,-2.8887021423,,
0.2184478148,-3.1218771301,0.145819567,-2.888762412,,
-0.2662071253,-3.7182021565,0.1459162488,-2.8887021423,,
-0.7960684110,-4.2556730427,0.1459162488,-2.8887021423,,
-1.3120354421,-4.7901465812,0.1459417946,-2.888640072,,
-1.8086766927,-5.3197733642,0.1459417946,-2.888640072,,
-2.3756463191,-5.7908276129,0.1459417946,-2.888640072,,
-3.0775640861,-5.9454462307,0.1459673405,-2.888578001,,
-3.7896318096,-5.7302578825,0.1459673405,-2.888578001,,
-4.3773583096,-5.2908952538,0.1458706586,-2.8885616005,,
-4.8566830076,-4.7046010485,0.1458706586,-2.8885616005,,
-5.3378026156,-4.1114655409,0.1458706586,-2.8885616005,,
-5.8129428584,-3.5262324116,0.1458706586,-2.8885616005,,
-6.3161719803,-2.9279335747,0.1458706586,-2.8885616005,,
-6.8029503126,-2.3253025936,0.1458706586,-2.8885616005,,
-7.2812653884,-1.7354177653,0.1458706586,-2.8885616005,,
-7.7490995448,-1.1566601722,0.1458706586,-2.8885616005,,
-8.1703550435,-0.5340361124,0.1458706586,-2.8885616005,,
-8.251577067,0.1652638778,0.0112668974,-3.0671377448,,
-8.032075336,0.8170921662,-0.1186804526,-3.2141761022,,
-7.5269075287,1.2852237735,-0.3012683399,-3.3814446149,,
-6.8607557816,1.4486090836,-0.5434186105,-3.5433836565,,
-6.114107618,1.4035896083,-0.8408576621,-3.6601935789,,
-5.3701373125,1.2961360992,-1.1647833695,-3.7305048506,,
-4.5813790397,1.2426002815,-1.5046860268,-3.7712067103,,
-3.8527713803,1.0930756697,-1.8797431126,-3.8171096175,,
-3.1357241934,0.9168675857,-2.2622738021,-3.8718555629,,
-2.4153559824,0.7235762492,-2.6659915705,-3.929769096,,
-1.6961755366,0.5584508981,-3.0608578468,-3.9970741287,,
-0.9673311829,0.3640225478,-3.4677079467,-4.0732596741,,
,,-3.8714933848,-4.1103124558,,
,,-4.2741236874,-4.1614861272,,
