# 9ef961a1-cd85-4040-b63a-04eb27703875
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 6.6315824; 8.0203508; 2.2551588; -0.0493749; 1.8427904; -0.0075688
0.1992754; 6.5524138; 7.8896457; -2.7537415; -2.9473660; 1.8419717; -0.0075688
0.3985509; 6.5787110; 7.7203038; -3.1243164; -0.5858481; 1.8411527; 5.2924379
0.5978263; 6.5780699; 7.5750244; 3.1289927; 0.0101402; 2.3450265; 5.2877324
0.7971018; 6.5772259; 7.3916204; -3.1329168; 0.1886781; 2.7580028; 5.2830311
0.9963772; 6.5842294; 7.1765169; -3.0821782; 0.2734882; 3.1164301; 5.2783340
1.1956527; 6.6071308; 6.9361388; -3.0087121; 0.3315502; 3.4374149; 5.2736411
1.3949281; 6.6539713; 6.6769511; -2.9147920; 0.3793368; 3.7306348; 4.6894810
1.5942036; 6.7047247; 6.4864322; -2.8511736; 0.2730845; 3.9732396; 5.2647829
1.7934790; 6.7680938; 6.2922988; -2.8035348; 0.1977783; 4.2290562; 5.2601021
1.9927545; 6.8407988; 6.0971101; -2.7684761; 0.1413050; 4.4700486; 5.2554253
2.1920299; 6.9195602; 5.9034252; -2.7438641; 0.0952300; 4.6984986; 5.2507528
2.3913054; 7.0010982; 5.7138033; -2.7285733; 0.0528599; 4.9161552; -7.5311708
2.5905808; 7.0821332; 5.5308035; -2.7223987; 0.0073525; 4.6007637; -9.1473455
2.7898563; 7.1593855; 5.3569851; -2.7261763; -0.0508946; 4.1858504; -7.9809151
2.9891317; 7.2315594; 5.1902014; -2.7429555; -0.1430264; 3.7868910; -5.7102132
3.1884072; 7.3150823; 4.9782443; -2.7976173; -0.3577950; 3.4734324; -2.9452383
3.3876826; 7.3743270; 4.7859091; -2.8978241; -0.6499972; 3.3001371; -0.3244958
3.5869581; 7.4065324; 4.6036820; -3.0434019; -0.9013095; 3.2804843; -0.0239858
3.7862335; 7.4089372; 4.4220494; 3.0690086; -0.9300580; 3.2790269; -0.0239858
3.9855090; 7.3787804; 4.2314975; 2.9070300; -0.7242763; 3.2775689; 2.1955276
4.1847844; 7.3268580; 4.0590173; 2.7993940; -0.4638481; 3.4084435; 4.5853342
4.3840599; 7.2630188; 3.8977019; 2.7349873; -0.2946824; 3.6667392; 5.2700067
4.5833353; 7.1847852; 3.7273307; 2.6905625; -0.1880222; 3.9427582; 5.2653212
4.7826108; 7.0951157; 3.5495364; 2.6607642; -0.1161329; 4.2004572; 5.2606399
4.9818862; 6.9969690; 3.3659518; 2.6423297; -0.0636402; 4.4430253; 5.2559627
5.1811617; 6.8933037; 3.1782099; 2.6333449; -0.0214692; 4.6728195; 5.2512896
5.3804371; 6.7870784; 2.9879433; 2.6328290; 0.0163630; 4.8916407; 2.6893717
5.5797126; 6.6815841; 2.7973919; 2.6404710; 0.0516976; 5.0000000; 0.0000000
5.7789880; 6.5835886; 2.6162912; 2.6505332; 0.0459829; 5.0000000; 0.0000000
5.9782635; 6.4881894; 2.4359487; 2.6593105; 0.0400055; 5.0000000; 0.0000000
6.1775389; 6.3951393; 2.2565366; 2.6667696; 0.0337509; 5.0000000; 0.0000000
6.3768144; 6.3041912; 2.0782270; 2.6728759; 0.0271998; 5.0000000; 0.0000000
6.5760898; 6.2150981; 1.9011918; 2.6775923; 0.0203282; 5.0000000; 0.0000000
6.7753653; 6.1276128; 1.7256032; 2.6808792; 0.0131074; 5.0000000; 0.0000000
6.9746407; 6.0414882; 1.5516332; 2.6826934; 0.0055035; 5.0000000; 0.0000000
7.1739162; 5.9564210; 1.3793403; 2.6829902; -0.0023241; 5.0000000; 0.0000000
7.3731916; 5.8716786; 1.2078837; 2.6819075; -0.0090115; 5.0000000; 0.0000000
7.5724671; 5.7868567; 1.0370057; 2.6795623; -0.0155017; 5.0000000; 0.0000000
7.7717425; 5.7010772; 0.8654739; 2.6760144; -0.0213467; 5.0000000; 0.0000000
7.9710180; 5.6134622; 0.6920558; 2.6713774; -0.0261776; 5.0000000; 0.0000000
8.1702934; 5.5231335; 0.5155191; 2.6658083; -0.0297544; 5.0000000; 0.0000000
8.3695689; 5.4292130; 0.3346313; 2.6594924; -0.0319859; 5.0000000; 0.0000000
8.5688443; 5.3308228; 0.1481599; 2.6526278; -0.0329206; 5.0000000; 0.0000000
8.7681198; 5.2286010; -0.0423317; 2.6456760; -0.0259207; 5.0000000; 0.0000000
8.9673952; 5.1269230; -0.2294901; 2.6431444; 0.0012750; 5.0000000; 0.0000000
9.1666707; 5.0234539; -0.4200632; 2.6461310; 0.0262067; 5.0000000; -8.5876075
9.3659461; 4.9210529; -0.6112676; 2.6546440; 0.0529761; 4.6451481; -8.4736635
9.5652216; 4.8225793; -0.8003199; 2.6692896; 0.0860945; 4.2661710; -8.0516233
9.7644970; 4.7308923; -0.9844368; 2.6914034; 0.1321986; 3.8718514; -7.5969707
9.9637725; 4.6488513; -1.1608349; 2.7233998; 0.2030950; 3.4588226; -7.0698419
10.1630479; 4.5793154; -1.3267307; 2.7695159; 0.3226151; 3.0241961; -6.4338075
10.3623234; 4.5251440; -1.4793408; 2.8373814; 0.5440767; 2.5654556; -4.6371825
10.5615988; 4.4734663; -1.7104041; 3.0283713; 1.1352023; 2.1756399; -0.9704125
10.7608743; 4.4801114; -1.9141369; -2.9302092; 2.0795977; 2.0848622; -0.0096880
10.9601497; 4.5484813; -2.0723155; -2.5300710; 2.3026676; 2.0839360; -0.0096880
11.1594252; 4.6728083; -2.1950718; -2.1954617; 1.4508512; 2.0830094; 3.6951819
11.3587006; 4.8339405; -2.2862206; -1.9926884; 0.9052597; 2.4107356; 4.7259865
11.5579761; 5.0138792; -2.3495037; -1.8263111; 0.8699734; 2.7740210; -0.3239433
11.7572515; 5.2114024; -2.3824479; -1.6416795; 0.9927749; 2.7506516; -1.5149790
11.9565270; 5.4146695; -2.3748349; -1.4172240; 1.2209424; 2.6386148; -0.0155178
12.1558024; 5.6118403; -2.3164467; -1.1409560; 1.4375864; 2.6374426; -0.0155178
12.3550779; 5.7675417; -2.2181531; -0.8811018; 1.2120289; 2.6362699; 1.5609934
12.5543533; 5.8873287; -2.1001006; -0.7168440; 0.7652466; 2.7517366; 4.1886193
12.7536288; 5.9991460; -1.9553191; -0.6080180; 0.4494301; 3.0399724; 5.2793841
12.9529042; 6.1059831; -1.7891378; -0.5415967; 0.2392403; 3.3683134; 5.2746902
13.1521797; 6.2108294; -1.6068857; -0.5075808; 0.0934550; 3.6671198; 5.2700005
13.3514551; 6.3166744; -1.4138919; -0.4997811; -0.0180667; 3.9431119; 5.2653150
13.5507306; 6.4265074; -1.2154856; -0.5150413; -0.1149586; 4.2007889; 5.2606336
13.7500060; 6.5301458; -1.0381248; -0.5428736; -0.1292273; 4.4433386; 5.2559564
13.9492815; 6.6324766; -0.8729152; -0.5653942; -0.1027830; 4.6731171; 5.2512834
14.1485569; 6.7390896; -0.7082701; -0.5830585; -0.0775705; 4.8919247; 2.6823987
14.3478324; 6.8491975; -0.5437966; -0.5960129; -0.0535567; 5.0000000; 0.0000000
14.5471078; 6.9620131; -0.3791016; -0.6043966; -0.0306400; 5.0000000; 0.0000000
14.7463833; 7.0767491; -0.2137924; -0.6083353; -0.0086816; 5.0000000; 0.0000000
14.9456587; 7.1926182; -0.0474757; -0.6079364; 0.0124702; 5.0000000; 0.0000000
15.1449342; 7.3088333; 0.1202411; -0.6032891; 0.0329608; 5.0000000; 0.0000000
15.3442096; 7.4225303; 0.2866491; -0.5952447; 0.0395238; 5.0000000; 0.0000000
15.5434850; 7.5329780; 0.4510190; -0.5883671; 0.0300015; 5.0000000; 0.0000000
15.7427605; 7.6428846; 0.6167070; -0.5833230; 0.0207860; 5.0000000; 0.0000000
15.9420359; 7.7524312; 0.7833463; -0.5800781; 0.0117911; 5.0000000; 0.0000000
16.1413114; 7.8617989; 0.9505701; -0.5786089; 0.0029322; 5.0000000; 0.0000000
16.3405868; 7.9711688; 1.1180116; -0.5789033; -0.0058739; 5.0000000; 0.0000000
16.5398623; 8.0807220; 1.2853040; -0.5809601; -0.0147098; 5.0000000; 0.0000000
16.7391377; 8.1906397; 1.4520806; -0.5847891; -0.0236576; 5.0000000; 0.0000000
16.9384132; 8.3011028; 1.6179746; -0.5904109; -0.0327995; 5.0000000; 0.0000000
17.1376886; 8.4155050; 1.7875656; -0.5960029; -0.0197290; 5.0000000; 0.0000000
17.3369641; 8.5304032; 1.9564208; -0.5984371; -0.0040339; 5.0000000; 0.0000000
17.5362395; 8.6447284; 2.1241387; -0.5976271; 0.0121320; 5.0000000; 0.0000000
17.7355150; 8.7577627; 2.2908419; -0.5935005; 0.0290074; 5.0000000; 0.0000000
17.9347904; 8.8687881; 2.4566530; -0.5859530; 0.0468519; 5.0000000; 0.0000000
18.1340659; 8.9770867; 2.6216948; -0.5748464; 0.0659445; 5.0000000; 0.0000000
18.3333413; 9.0819405; 2.7860897; -0.5600079; 0.0865809; 5.0000000; 0.0000000
18.5326168; 9.1826314; 2.9499605; -0.5412302; 0.1090654; 5.0000000; 0.0000000
18.7318922; 9.2854208; 3.1254950; -0.5186451; 0.1012788; 5.0000000; 0.0000000
18.9311677; 9.3869029; 3.3073182; -0.5004859; 0.0726237; 5.0000000; 0.0000000
19.1304431; 9.4839984; 3.4875733; -0.4887656; 0.0413237; 5.0000000; 0.0000000
19.3297186; 9.5779640; 3.6655704; -0.4838230; 0.0071981; 5.0000000; 0.0000000
19.5289940; 9.6700570; 3.8406199; -0.4860173; -0.0300423; 5.0000000; 0.0000000
19.7282695; 9.7615341; 4.0120317; -0.4957373; -0.0707391; 5.0000000; 0.0000000
19.9275449; 9.8536525; 4.1791161; -0.5134007; -0.1151921; 5.0000000; 0.0000000
20.1268204; 9.9502225; 4.3454667; -0.5395348; -0.1340129; 5.0000000; 0.0000000
20.3260958; 10.0578649; 4.5208598; -0.5583921; -0.0475212; 5.0000000; -1.8230347
20.5253713; 10.1653503; 4.6922697; -0.5585825; 0.0471589; 4.9268071; -6.8438481
20.7246467; 10.2696182; 4.8621169; -0.5391865; 0.1487165; 4.6417460; -5.0730757
20.9239222; 10.3676080; 5.0328219; -0.4995475; 0.2545840; 4.4185888; -3.5374357
21.1231976; 10.4562591; 5.2068049; -0.4395465; 0.3590011; 4.2560638; -2.2672147
21.3224731; 10.5325110; 5.3864866; -0.3601108; 0.4515376; 4.1485514; -2.1276607
21.5217485; 10.5932846; 5.5738506; -0.2663265; 0.4833517; 4.0450584; -2.0997422
21.7210240; 10.6362873; 5.7682181; -0.1685371; 0.5017051; 3.9402593; -2.1544396
21.9202994; 10.6596892; 5.9667864; -0.0649041; 0.5371436; 3.8297506; -1.8478355
22.1195749; 10.6616187; 6.1665581; 0.0472658; 0.5874320; 3.7323629; -1.3465135
22.3188503; 10.6402041; 6.3645356; 0.1702561; 0.6483085; 3.6597649; -0.6985060
22.5181258; 10.5935740; 6.5577217; 0.3055325; 0.7114300; 3.6215312; -0.0292322
22.7174012; 10.5198567; 6.7431189; 0.4531016; 0.7631352; 3.6199224; -0.0292322
22.9166767; 10.4348138; 6.8928877; 0.5768872; 0.6662676; 3.6183128; 1.2478929
23.1159521; 10.3303489; 7.0354495; 0.6844376; 0.5499708; 3.6863988; 2.4958361
23.3152276; 10.2073929; 7.1724353; 0.7750284; 0.4364467; 3.8189336; 3.6022151
23.5145030; 10.0671269; 7.3049625; 0.8492699; 0.3363310; 4.0024892; 4.5762675
23.7137785; 9.9107318; 7.4341483; 0.9086874; 0.2529005; 4.2241917; 5.2601938
23.9130539; 9.7393887; 7.5611103; 0.9550996; 0.1853608; 4.4654508; 5.2555170
24.1123294; 9.5542787; 7.6869657; 0.9902689; 0.1313004; 4.6941284; 5.2508443
24.3116048; 9.3615675; 7.8097375; 1.0153680; 0.0975654; 4.9119823; 2.1890043
